annotator_group,first_num_techniques,repeated_num_techniques,first_num_intentions,repeated_num_intentions,first_num_consequences,repeated_num_consequences,first_num_reactions,repeated_num_reactions,first_comment,repeated_comment,first_len_intentions,repeated_len_intentions,first_len_single_intentions,repeated_len_single_intentions,first_len_consequences,repeated_len_consequences,first_len_single_consequences,repeated_len_single_consequences,first_len_reactions,repeated_len_reactions,first_len_single_reactions,repeated_len_single_reactions,first_len_comment,repeated_len_comment
komunikacja,1.77,1.95,1.36,2.17,1.85,2.93,1.45,2.09,0.23,0.37,87.55,156.1,53.77,62.83,131.57,163.74,55.89,48.84,96.18,146.52,45.24,47.48,,
nastolatek,2.93,2.3,1.19,1.56,1.85,2.29,1.17,1.5,0.14,0.09,75.19,82.2,57.53,49.9,84.83,89.4,38.27,35.99,75.4,78.22,47.99,40.91,,
nauczyciel,2.01,1.79,1.62,1.57,2.11,2.08,1.33,1.29,0.05,0.17,70.39,86.76,38.88,49.03,86.15,86.69,34.73,36.29,54.46,63.05,30.41,39.12,,
psycholog,2.35,2.63,1.62,1.65,2.71,3.6,1.34,1.57,0.17,0.25,91.0,93.83,48.52,49.31,135.9,142.09,40.36,32.49,83.86,93.83,41.22,36.49,,
rodzic,3.1,3.44,2.27,1.73,3.39,3.15,1.77,1.47,0.09,0.09,95.63,100.51,39.03,56.01,128.87,155.81,34.2,45.01,79.5,104.51,32.89,51.52,,
overall,2.43,2.42,1.61,1.73,2.38,2.81,1.41,1.58,0.13,0.19,83.92,103.45,46.12,54.09,113.28,127.27,39.71,39.85,77.4,95.93,39.04,43.46,175.46,127.88
